time,latency_ms
231781323442873,197.746739
231796719742526,63.745053
231796727164448,71.512809
231796731002388,75.360055
231796737612277,81.816418
231796771169021,41.542516
231796782382666,41.734202
231796782494422,59.681171
231796794891831,60.461454
231796817993765,44.268235
231796821537288,35.679453
231796827947884,42.008397
231796842398056,45.364618
231796862102461,37.886928
231796866230639,45.71085
231796869408054,38.800923
231796889641835,25.136151
231796904260684,59.015919
231796908166132,39.50103
231796908200873,36.29823
231796937046848,45.31647
231796939605230,33.103768
231796943002586,32.297408
231796944584297,33.743681
231796970175500,23.42583
231796973510813,34.048954
231796975664365,33.636619
231796979899638,34.466277
231797002541155,30.365069
231797008390852,32.419498
231797010658053,28.370429
231797014851914,37.014932
231797025008072,20.484183
231797033155363,22.500341
231797046617222,29.567133
231797051278667,38.463819
231797055659247,28.670424
231797068624134,33.548717
231797077926473,29.305591
231797079978940,22.389188
231797085410019,32.111455
231797095366696,24.660764
231797104198599,22.064959
231797105538402,24.984882
231797110495857,23.029425
231797123322714,25.781715
231797128065333,20.375404
231797128632621,22.364362
231797146519275,20.930695
231797148670245,33.924649
231797151293673,20.770746
231797152389826,22.092465
231797172358437,23.826985
231797172392771,21.122991
231797175140860,21.671049
231797176102601,21.818666
231797195107631,20.469674
231797198951011,24.348012
231797198988407,21.112469
231797201679175,21.373304
231797216032885,18.870795
231797221438724,20.227775
231797221475190,20.223719
231797231207272,27.328128
231797238721517,15.380344
231797241988764,18.567048
231797246187441,23.363238
231797256376082,23.183596
231797263417142,22.782472
231797264518889,16.367125
231797270966885,25.22959
231797279161373,20.811107
231797284272060,17.911575
231797285787052,20.352864
231797301629277,18.857547
231797302282222,29.2243
231797304862130,18.56307
231797318706642,29.525657
231797322195816,18.46199
231797322228017,18.650586
231797359827787,52.852512
231797360199987,39.627297
231797361272118,37.031355
231797372527508,48.318725
231797378075179,16.22534
231797388399150,24.285124
231797398163049,34.110121
231797401705326,21.824922
231797406028155,15.501404
231797410564161,36.167604
231797418594419,18.359729
231797424812706,21.121579
231797424846088,16.848761
231797431022691,18.602038
231797438850320,18.206394
231797443608741,16.362002
231797444826461,17.521562
231797455922973,22.957635
231797461773357,20.84259
231797464076366,17.624041
231797464648701,18.982316
231797482032723,16.041688
